"No.","Time","Source","Destination","Protocol","Length","Identification","Sender MAC address","Sender IP address","Info"
"448","22.535949142","Dell_15:d1:e0","Broadcast","ARP","60","","28:f1:0e:15:d1:e0","192.168.1.119","Who has 192.168.1.1? Tell 192.168.1.119"
"449","22.554867992","Apple_e9:9b:b4","Broadcast","ARP","60","","48:bf:6b:e9:9b:b4","192.168.1.109","Who has 192.168.1.1? Tell 192.168.1.109"
"451","22.595827271","IntelCor_e4:13:a8","Broadcast","ARP","60","","34:e6:ad:e4:13:a8","192.168.1.108","Who has 192.168.1.1? Tell 192.168.1.108"
"452","22.604086426","LiteonTe_95:f8:bf","Broadcast","ARP","60","","98:22:ef:95:f8:bf","192.168.1.130","Who has 192.168.1.1? Tell 192.168.1.130"
"453","22.625882862","Apple_9b:8a:79","Broadcast","ARP","60","","68:5b:35:9b:8a:79","192.168.1.142","Who has 192.168.1.1? Tell 192.168.1.142"
"454","22.633670416","Apple_17:08:d0","Broadcast","ARP","60","","a8:bb:cf:17:08:d0","192.168.1.120","Who has 192.168.1.1? Tell 192.168.1.120"
"455","22.635778796","Azurewav_22:40:a3","Broadcast","ARP","60","","28:c2:dd:22:40:a3","192.168.1.147","Who has 192.168.1.1? Tell 192.168.1.147"
"456","22.716943045","SamsungE_38:82:44","Broadcast","ARP","60","","18:67:b0:38:82:44","192.168.1.140","Who has 192.168.1.1? Tell 192.168.1.140"
"457","22.839722647","5a:1e:90:10:53:d8","Broadcast","ARP","60","","5a:1e:90:10:53:d8","192.168.1.121","Who has 192.168.1.1? Tell 192.168.1.121"
"458","22.881214504","HewlettP_46:0f:53","Broadcast","ARP","42","","a0:2b:b8:46:0f:53","192.168.1.106","Who has 192.168.1.1? Tell 192.168.1.106"
"459","22.887487711","IntelCor_ce:0a:22","Broadcast","ARP","60","","10:02:b5:ce:0a:22","192.168.1.148","Who has 192.168.1.1? Tell 192.168.1.148"
"460","22.975304561","LiteonTe_89:d4:6b","Broadcast","ARP","60","","3c:95:09:89:d4:6b","192.168.1.122","Who has 192.168.1.144? Tell 192.168.1.122"
"463","23.085511961","LiteonTe_89:d4:6b","Broadcast","ARP","60","","3c:95:09:89:d4:6b","192.168.1.122","Who has 192.168.1.1? Tell 192.168.1.122"
"464","23.148892025","CompalIn_bd:cd:3a","Broadcast","ARP","60","","f0:76:1c:bd:cd:3a","192.168.1.126","Who has 192.168.1.1? Tell 192.168.1.126"
"465","23.157246062","HonHaiPr_a6:69:81","Broadcast","ARP","60","","94:53:30:a6:69:81","192.168.1.131","Who has 192.168.1.1? Tell 192.168.1.131"
"466","23.166421792","Azurewav_22:40:a3","Broadcast","ARP","60","","28:c2:dd:22:40:a3","192.168.1.147","Who has 192.168.1.1? Tell 192.168.1.147"
